DateJour,AR_Ref,TotalSortie,TotalEntree,ValeurSortie,ValeurEntree,StockFinal,jour_semaine,mois,trimestre
2024-01-01,PH0001,27.3401,1063.0,8836.7988,334540.3442,150.9574,0,1,1
2024-01-02,PH0001,24.5682,0.0,7456.6182,0.0,150.9574,1,1,1
2024-01-03,PH0001,18.4431,0.0,5700.8766,0.0,150.9574,2,1,1
2024-01-04,PH0001,29.4474,0.0,8955.5727,0.0,150.9574,3,1,1
2024-01-05,PH0001,16.6501,0.0,5007.0214,0.0,150.9574,4,1,1
2024-01-06,PH0001,16.448,0.0,5159.4267,0.0,150.9574,5,1,1
2024-01-07,PH0001,0.0,0.0,0.0,0.0,150.9574,6,1,1
2024-01-08,PH0001,11.1165,0.0,3486.738,0.0,150.9574,0,1,1
2024-01-09,PH0001,14.2809,0.0,4412.6796,0.0,150.9574,1,1,1
2024-01-10,PH0001,7.4204,0.0,2226.5986,0.0,150.9574,2,1,1
2024-01-11,PH0001,23.8894,0.0,7272.9295,0.0,150.9574,3,1,1
2024-01-12,PH0001,20.8279,0.0,6307.1797,0.0,150.9574,4,1,1
2024-01-13,PH0001,16.1131,0.0,5185.7354,0.0,836.4549,5,1,1
2024-01-14,PH0001,21.705,0.0,6544.2963,0.0,814.7499,6,1,1
2024-01-15,PH0001,27.6532,0.0,9186.0695,0.0,787.0967,0,1,1
2024-01-16,PH0001,26.7546,0.0,8096.8463,0.0,760.3421,1,1,1
2024-01-17,PH0001,21.041,0.0,6140.5739,0.0,739.3011,2,1,1
2024-01-18,PH0001,20.121,0.0,6484.3021,0.0,719.1801,3,1,1
2024-01-19,PH0001,0.0,0.0,0.0,0.0,719.1801,4,1,1
2024-01-20,PH0001,7.2531,0.0,2207.1822,0.0,711.927,5,1,1
2024-01-21,PH0001,18.0327,0.0,5271.1349,0.0,693.8943,6,1,1
2024-01-22,PH0001,22.2604,0.0,6590.7257,0.0,671.6339,0,1,1
2024-01-23,PH0001,37.9584,0.0,11398.0497,0.0,633.6755,1,1,1
2024-01-24,PH0001,21.9078,0.0,6931.8492,0.0,611.7677,2,1,1
2024-01-25,PH0001,26.8663,0.0,8124.8984,0.0,584.9014,3,1,1
2024-01-26,PH0001,20.3846,0.0,6753.4017,0.0,564.5168,4,1,1
2024-01-27,PH0001,12.3628,0.0,3721.1348,0.0,552.154,5,1,1
2024-01-28,PH0001,0.0,0.0,0.0,0.0,552.154,6,1,1
2024-01-29,PH0001,14.928,0.0,4586.8325,0.0,537.226,0,1,1
2024-01-30,PH0001,26.1326,0.0,0.0,0.0,511.0934,1,1,1
2024-01-31,PH0001,13.7218,0.0,4014.5074,0.0,497.3716,2,1,1
2024-02-01,PH0001,12.282,0.0,3870.8271,0.0,485.0896,3,2,1
2024-02-02,PH0001,10.2575,0.0,3035.7553,0.0,474.8321,4,2,1
2024-02-03,PH0001,11.9153,0.0,3860.5727,0.0,462.9168,5,2,1
2024-02-04,PH0001,0.0,0.0,0.0,0.0,462.9168,6,2,1
2024-02-05,PH0001,37.9003,0.0,11744.7724,0.0,425.0165,0,2,1
2024-02-06,PH0001,15.2622,0.0,4776.9496,0.0,409.7543,1,2,1
2024-02-07,PH0001,20.9853,0.0,6746.1402,0.0,388.769,2,2,1
2024-02-08,PH0001,17.3873,0.0,5543.8554,0.0,371.3817,3,2,1
2024-02-09,PH0001,16.9935,0.0,5527.2361,0.0,354.3882,4,2,1
2024-02-10,PH0001,27.2778,0.0,8512.7549,0.0,327.1104,5,2,1
2024-02-11,PH0001,0.0,0.0,0.0,0.0,327.1104,6,2,1
2024-02-12,PH0001,20.1349,0.0,6542.6988,0.0,306.9755,0,2,1
2024-02-13,PH0001,33.5497,0.0,10180.7437,0.0,273.4258,1,2,1
2024-02-14,PH0001,8.6214,0.0,2681.7089,0.0,264.8044,2,2,1
2024-02-15,PH0001,24.3434,0.0,7085.429,0.0,240.461,3,2,1
2024-02-16,PH0001,0.0,0.0,0.0,0.0,240.461,4,2,1
2024-02-17,PH0001,11.4007,0.0,3729.7504,0.0,229.0603,5,2,1
2024-02-18,PH0001,9.8109,0.0,2863.06,0.0,219.2494,6,2,1
2024-02-19,PH0001,23.6165,0.0,7290.9898,0.0,195.6329,0,2,1
2024-02-20,PH0001,8.0806,0.0,2440.4495,0.0,187.5523,1,2,1
2024-02-21,PH0001,31.4913,0.0,0.0,0.0,156.061,2,2,1
2024-02-22,PH0001,29.5022,0.0,8939.2669,0.0,126.5588,3,2,1
2024-02-23,PH0001,0.0,0.0,0.0,0.0,126.5588,4,2,1
2024-02-24,PH0001,15.8747,0.0,4673.6165,0.0,110.6841,5,2,1
2024-02-25,PH0001,20.1964,0.0,6102.9562,0.0,90.4877,6,2,1
2024-02-26,PH0001,20.677,0.0,6115.5391,0.0,69.8107,0,2,1
2024-02-27,PH0001,13.9304,0.0,4115.192,0.0,55.8803,1,2,1
2024-02-28,PH0001,11.5021,0.0,3499.7739,0.0,44.3782,2,2,1
2024-02-29,PH0001,25.1797,0.0,0.0,0.0,19.1985,3,2,1
2024-03-01,PH0001,19.1985,0.0,6281.1003,0.0,0.0,4,3,1
2024-03-02,PH0001,0.0,0.0,0.0,0.0,0.0,5,3,1
2024-03-03,PH0001,0.0,0.0,0.0,0.0,0.0,6,3,1
2024-03-04,PH0001,0.0,0.0,0.0,0.0,0.0,0,3,1
2024-03-05,PH0001,0.0,0.0,0.0,0.0,0.0,1,3,1
2024-03-06,PH0001,0.0,0.0,0.0,0.0,0.0,2,3,1
2024-03-07,PH0001,0.0,0.0,0.0,0.0,0.0,3,3,1
2024-03-08,PH0001,0.0,0.0,0.0,0.0,0.0,4,3,1
2024-03-09,PH0001,0.0,0.0,0.0,0.0,0.0,5,3,1
2024-03-10,PH0001,20.2599,290.0,5975.9351,92901.732,269.7401,6,3,1
2024-03-11,PH0001,30.6307,0.0,9994.341,0.0,239.1094,0,3,1
2024-03-12,PH0001,13.3253,0.0,0.0,0.0,225.7841,1,3,1
2024-03-13,PH0001,14.5389,0.0,4255.8719,0.0,211.2452,2,3,1
2024-03-14,PH0001,24.9983,0.0,7669.0485,0.0,186.2469,3,3,1
2024-03-15,PH0001,0.0,0.0,0.0,0.0,186.2469,4,3,1
2024-03-16,PH0001,18.6363,0.0,6169.344,0.0,167.6106,5,3,1
2024-03-17,PH0001,0.0,0.0,0.0,0.0,167.6106,6,3,1
2024-03-18,PH0001,31.7297,0.0,10038.2712,0.0,135.8809,0,3,1
2024-03-19,PH0001,15.9252,0.0,4767.6099,0.0,119.9557,1,3,1
2024-03-20,PH0001,13.4366,0.0,4301.5192,0.0,106.5191,2,3,1
2024-03-21,PH0001,8.569,0.0,2491.2131,0.0,97.9501,3,3,1
