AR_Ref,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
PH0001,565.6283999999999,478.1731,309.19849999999997,312.0,453.6216,245.9687,505.3991,271.0106,370.0,382.0281,373.8535,339.1331,384.4615,356.0037,380.5201,274.0,251.8227,351.1773,470.1001,466.8999,329.662,526.8302,334.5078,248.0,485.83639999999997,363.1636,419.3583,336.2782,372.3635,128.2694
PH0002,136.5427,124.6589,117.373,120.3943,128.2374,125.2392,109.1033,116.9347,105.5985,120.66290000000001,134.187,124.53,127.9384,111.7123,130.8959,110.205,121.7298,106.5603,84.4627,110.71849999999999,122.0117,119.9868,107.7349,129.9646,138.5042,141.4048,120.0737,113.5175,128.8817,37.1351
PH0003,559.0868,567.6328,488.6451,357.63530000000003,369.2006,300.8599,240.2974,285.1503,225.3503,331.9284,258.2131,498.0,221.0,234.0,467.0,256.0,329.5017,339.4101,327.0882,274.5312,302.7086,299.7602,188.0,200.0,454.0,197.0,318.2881,363.1084,288.6035,181.9194
PH0004,596.7118,380.2882,372.1958,310.4301,511.5137,542.0109,390.218,318.6315,384.7664,529.8756,441.1521,377.3751,464.3138,240.9566,454.5443,509.0161,353.0203,451.78639999999996,448.1933,559.4033,498.0532,376.5241,343.6992,469.3202,436.6555,438.2424,360.5127,560.5361,420.41319999999996,92.53880000000001
PH0005,549.894,571.727,488.4326,480.81960000000004,539.3232,335.2165,610.9933,530.68,551.4046,547.5092,402.0,473.8353,440.2231,482.41290000000004,419.5287,407.99809999999997,445.9801,461.8758,591.5803999999999,396.7869,521.9923,326.7864,611.0,426.0,471.63710000000003,404.5767,472.4457,316.36379999999997,494.9767,176.4101
PH0006,248.167,204.8366,217.0091,214.1039,197.58350000000002,255.6415,201.6584,145.2494,153.5181,209.8278,247.4047,257.6423,144.95420000000001,231.5712,144.9291,206.9032,223.7882,247.0702,203.3765,145.5812,193.4633,169.6727,183.5269,129.7307,211.7903,103.4584,224.5416,126.2739,172.7261,74.6043
PH0007,282.7443,267.4394,296.7139,269.0712,259.5303,263.4453,271.5211,277.3699,252.5384,233.2746,244.7646,223.1867,266.6734,286.481,288.2737,271.7146,275.76279999999997,211.0239,290.8996,262.0318,276.80219999999997,240.4632,317.2754,274.659,270.1139,177.3358,269.5215,271.2502,285.1183,48.3364
PH0008,132.1462,122.9496,90.5769,107.3005,129.7871,105.4755,110.4799,128.3492,114.58489999999999,118.777,101.6342,106.7562,128.2823,83.5217,110.6819,128.1503,127.9896,110.3195,138.3732,142.2607,119.6957,122.7652,105.3198,131.9441,138.9269,102.8438,125.0682,121.06530000000001,103.6692,40.707499999999996
PH0009,270.5542,249.593,248.3524,319.8677,262.1523,268.1244,283.31260000000003,263.9819,264.0584,276.0031,285.9594,264.4991,253.8278,266.7364,306.73900000000003,237.4781,267.3755,253.3578,282.1175,290.1718,277.8925,335.27,252.9596,257.6838,302.5732,252.125,289.4511,291.7824,330.5661,109.9418
PH0010,486.2585,222.7415,206.8485,250.3081,205.60150000000002,207.8469,235.5586,213.2318,212.3457,405.2589,387.8136,371.1198,512.1677,175.1304,214.6679,225.1006,250.168,201.3595,145.3245,221.3206,154.4774,576.7315,147.8757,475.7279,507.3324,273.8162,221.8699,167.952,229.6452,73.42320000000001
