ds,AR_Ref,AR_Design,FA_CodeFamille,FA_Intitule,y,StockFinal,jour_semaine,mois,trimestre,annee,is_weekend,is_fin_mois,is_debut_mois
2024-01-01,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,27.3401,150.9574,0,1,1,2024,0,0,1
2024-01-02,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,24.5682,150.9574,1,1,1,2024,0,0,1
2024-01-03,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,18.4431,150.9574,2,1,1,2024,0,0,1
2024-01-04,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,29.4474,150.9574,3,1,1,2024,0,0,1
2024-01-05,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,16.6501,150.9574,4,1,1,2024,0,0,1
2024-01-06,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,16.448,150.9574,5,1,1,2024,1,0,0
2024-01-07,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,0.0,150.9574,6,1,1,2024,1,0,0
2024-01-08,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,11.1165,150.9574,0,1,1,2024,0,0,0
2024-01-09,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,14.2809,150.9574,1,1,1,2024,0,0,0
2024-01-10,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,7.4204,150.9574,2,1,1,2024,0,0,0
2024-01-11,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,23.8894,150.9574,3,1,1,2024,0,0,0
2024-01-12,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,20.8279,150.9574,4,1,1,2024,0,0,0
2024-01-13,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,16.1131,836.4549,5,1,1,2024,1,0,0
2024-01-14,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,21.705,814.7499,6,1,1,2024,1,0,0
2024-01-15,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,27.6532,787.0967,0,1,1,2024,0,0,0
2024-01-16,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,26.7546,760.3421,1,1,1,2024,0,0,0
2024-01-17,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,21.041,739.3011,2,1,1,2024,0,0,0
2024-01-18,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,20.121,719.1801,3,1,1,2024,0,0,0
2024-01-19,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,0.0,719.1801,4,1,1,2024,0,0,0
2024-01-20,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,7.2531,711.927,5,1,1,2024,1,0,0
2024-01-21,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,18.0327,693.8943,6,1,1,2024,1,0,0
2024-01-22,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,22.2604,671.6339,0,1,1,2024,0,0,0
2024-01-23,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,37.9584,633.6755,1,1,1,2024,0,0,0
2024-01-24,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,21.9078,611.7677,2,1,1,2024,0,0,0
2024-01-25,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,26.8663,584.9014,3,1,1,2024,0,1,0
2024-01-26,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,20.3846,564.5168,4,1,1,2024,0,1,0
2024-01-27,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,12.3628,552.154,5,1,1,2024,1,1,0
2024-01-28,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,0.0,552.154,6,1,1,2024,1,1,0
2024-01-29,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,14.928,537.226,0,1,1,2024,0,1,0
2024-01-30,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,26.1326,511.0934,1,1,1,2024,0,1,0
2024-01-31,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,13.7218,497.3716,2,1,1,2024,0,1,0
2024-02-01,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,12.282,485.0896,3,2,1,2024,0,0,1
2024-02-02,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,10.2575,474.8321,4,2,1,2024,0,0,1
2024-02-03,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,11.9153,462.9168,5,2,1,2024,1,0,1
2024-02-04,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,0.0,462.9168,6,2,1,2024,1,0,1
2024-02-05,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,37.9003,425.0165,0,2,1,2024,0,0,1
2024-02-06,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,15.2622,409.7543,1,2,1,2024,0,0,0
2024-02-07,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,20.9853,388.769,2,2,1,2024,0,0,0
2024-02-08,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,17.3873,371.3817,3,2,1,2024,0,0,0
2024-02-09,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,16.9935,354.3882,4,2,1,2024,0,0,0
2024-02-10,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,27.2778,327.1104,5,2,1,2024,1,0,0
2024-02-11,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,0.0,327.1104,6,2,1,2024,1,0,0
2024-02-12,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,20.1349,306.9755,0,2,1,2024,0,0,0
2024-02-13,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,33.5497,273.4258,1,2,1,2024,0,0,0
2024-02-14,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,8.6214,264.8044,2,2,1,2024,0,0,0
2024-02-15,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,24.3434,240.461,3,2,1,2024,0,0,0
2024-02-16,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,0.0,240.461,4,2,1,2024,0,0,0
2024-02-17,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,11.4007,229.0603,5,2,1,2024,1,0,0
2024-02-18,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,9.8109,219.2494,6,2,1,2024,1,0,0
2024-02-19,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,23.6165,195.6329,0,2,1,2024,0,0,0
2024-02-20,PH0001,Amoxicilline 500mg,ANTIB,Antibiotiques,8.0806,187.5523,1,2,1,2024,0,0,0
