AR_Ref,AR_Design,TotalSortie,TotalEntree,ValeurSortie,NbJoursSortie,MoyenneSortie
PH0089,Carbamazépine 200mg,14548.2821,14947.0,4005788.388823,691,21.05395383502171
PH0085,Cholestyramine Sachet,14502.377,15213.0,6444237.735819,659,22.006641881638846
PH0116,Glibenclamide 5mg,14327.8244,14556.0,6006268.089047,658,21.774809118541032
PH0041,Chloramphénicol Collyre,14318.1777,14433.0,1182632.081875,667,21.46653328335832
PH0005,Métronidazole 250mg,13950.4101,14184.0,1534811.746533,674,20.697937833827893
PH0103,Pivmécillinam 200mg,13861.1955,14487.0,881382.482221,664,20.875294427710845
PH0011,Amlodipine 5mg,13790.4429,14266.0,741709.274518,670,20.582750597014925
PH0016,Metformine 850mg,13756.7146,14029.0,1349915.419074,646,21.295223839009285
PH0050,Magnésium 300mg,13692.7131,14263.0,4685710.644242,628,21.803683280254777
PH0112,Aténolol 50mg,13533.9236,13621.0,215905.515474,650,20.821420923076925
PH0013,Ramipril 5mg,13531.4031,13581.0,4611260.7138,642,21.07695186915888
PH0046,Vitamine C 1000mg,13463.402,13883.0,5934332.829172,636,21.16887106918239
PH0059,Morphine 10mg,13316.2686,14091.0,1464997.27985,621,21.443266666666666
PH0095,Vitamine A Collyre,13282.426,13654.0,2887264.157709,617,21.527432739059968
PH0113,Métoprolol 100mg,13244.9195,13319.0,5458650.972026,625,21.1918712
PH0100,Sélénium 100mcg,13189.9142,13315.0,5953418.506794,637,20.706301726844583
PH0043,Latanoprost Collyre,13172.4413,13556.0,4692401.759966,617,21.349175526742304
PH0140,Buspirone 10mg,13151.9788,13444.0,1957932.238735,632,20.810093037974685
PH0036,Diazépam 5mg,13113.8494,13204.0,2669941.7985,625,20.98215904
PH0123,Calcipotriol Pommade,13083.6169,13567.0,1079388.648886,622,21.0347538585209
PH0047,Vitamine D3 1000UI,12880.5275,13336.0,2038610.34331,614,20.978057817589576
PH0074,Miconazole Gel Buccal,12812.2028,13084.0,3771146.516161,621,20.63156650563607
PH0025,Perméthrine Lotion,12811.4455,13466.0,1994612.971729,588,21.788172619047618
PH0086,Lamotrigine 50mg,12782.8791,12903.0,556074.633165,600,21.3047985
PH0077,Budésonide Inhal.,12753.7905,13512.0,5099644.503413,597,21.363133165829144
PH0073,Nystatine Ovule,12724.8417,12990.0,2670409.816984,601,21.172781530782032
