FA_CodeFamille,FA_Intitule,TotalSortie,TotalEntree,ValeurSortie,NbJours,NbArticles
CARDIO,Cardiologie,134861.4503,138829.0,30169299.628804,890,16
ANTIB,Antibiotiques,133249.7883,136940.0,24092011.900822,888,16
RESP,Respiratoire,127956.892,131899.0,32190827.983255,891,15
DERMA,Dermatologie,122046.5234,125719.0,27426560.180911,889,15
GASTRO,Gastro-entérologie,119381.1197,123919.0,29196659.966785,890,15
OPHTA,Ophtalmologie,113058.506,118934.0,24391732.867357,892,15
VITAM,Vitamines & Compléments,109596.8433,114624.0,30461709.686774,889,15
NEURO,Neurologie,107137.7268,110330.0,23547689.476013,891,15
DIAB,Diabétologie,106988.492,110662.0,28416669.39913,891,16
ANALG,Analgésiques,95004.3479,99053.0,21549274.747441,891,16
