AR_Ref,MAE,RMSE,MAPE,nb_train,nb_test
PH0089,9.86,11.81,35.73,714,178
PH0085,9.61,11.54,33.69,714,178
PH0116,11.46,13.26,42.57,714,178
PH0041,9.76,11.61,43.11,714,178
PH0005,10.41,12.13,43.58,714,178
PH0103,9.66,11.5,34.81,714,178
PH0011,9.6,11.5,46.55,714,178
PH0016,11.26,13.23,40.98,714,178
PH0050,9.99,11.86,36.29,714,178
PH0112,10.34,12.01,47.15,714,178
PH0013,11.04,12.6,43.63,714,178
PH0046,9.82,11.26,40.62,714,178
PH0059,10.02,11.83,156.69,714,178
PH0095,10.99,12.91,147.65,714,178
PH0113,10.5,12.23,37.54,714,178
PH0100,9.84,11.83,74.18,714,178
PH0043,10.1,11.67,40.23,714,178
PH0140,10.41,12.2,60.03,714,178
PH0036,10.47,12.15,58.8,714,178
PH0123,9.98,11.72,39.7,714,178
PH0047,10.88,12.56,42.98,714,178
PH0074,10.54,12.15,42.94,714,178
PH0025,11.28,13.09,39.17,714,178
PH0086,11.07,12.56,39.18,714,178
PH0077,9.37,11.68,41.49,714,178
PH0073,10.98,12.77,41.58,714,178
PH0004,10.3,12.23,45.87,714,178
PH0068,10.04,11.79,41.06,714,178
PH0107,10.57,12.23,36.92,714,178
PH0135,10.91,12.43,43.92,714,178
PH0018,10.25,12.07,38.25,714,178
PH0057,11.18,12.67,38.84,714,178
PH0082,9.56,11.34,37.36,714,178
PH0038,10.9,12.32,44.85,714,178
PH0097,10.73,12.24,46.09,714,178
PH0034,10.29,11.72,38.35,714,178
PH0049,10.44,12.0,43.12,714,178
PH0001,10.3,12.1,267.89,714,178
PH0128,10.74,12.39,40.72,714,178
PH0021,9.97,11.9,43.21,714,178
PH0094,10.68,12.3,46.35,714,178
PH0003,10.42,12.25,52.58,714,178
PH0090,7.31,9.06,70.29,714,178
PH0031,13.82,15.71,200.42,714,178
PH0141,15.23,16.52,263.62,714,178
PH0040,6.31,8.33,47.49,714,178
PH0030,7.37,9.11,75.11,714,178
PH0130,6.59,8.62,56.17,714,178
PH0010,6.9,8.56,66.0,714,178
PH0061,8.08,11.64,129.17,714,178
PH0026,7.9,11.19,92.91,714,178
PH0009,5.12,6.02,47.08,714,178
PH0151,8.74,12.1,104.32,714,178
PH0106,12.92,14.65,195.58,714,178
PH0131,9.62,12.91,110.09,714,178
PH0012,4.62,5.68,50.82,714,178
PH0099,4.98,5.84,45.33,714,178
PH0101,12.34,14.46,155.76,714,178
PH0048,4.58,5.54,47.67,714,178
PH0134,4.8,5.8,54.56,714,178
PH0017,4.46,5.28,51.74,714,178
PH0007,4.91,5.81,48.03,714,178
PH0108,4.88,5.87,48.08,714,178
PH0147,5.39,6.4,47.88,714,178
PH0148,5.38,6.16,57.16,714,178
PH0019,5.04,5.94,45.85,714,178
PH0132,4.7,5.62,50.2,714,178
PH0042,5.23,6.2,45.08,714,178
PH0028,4.91,5.72,43.68,714,178
PH0069,4.59,5.62,41.48,714,178
PH0104,5.21,6.31,50.37,714,178
PH0039,5.57,6.37,69.79,714,178
PH0015,3.84,4.75,59.8,714,178
PH0139,5.18,6.06,74.28,714,178
PH0014,4.37,5.41,46.83,714,178
PH0096,7.64,11.89,72.49,714,178
PH0115,4.2,5.76,64.74,714,178
PH0055,3.9,5.1,60.63,714,178
PH0121,8.26,12.58,82.28,714,178
PH0023,5.86,6.69,69.15,714,178
PH0133,7.53,8.58,238.61,714,178
PH0146,6.88,7.86,99.22,714,178
PH0062,5.4,6.1,86.93,714,178
PH0091,7.6,11.21,85.98,714,178
PH0129,7.37,8.66,455.1,714,178
PH0111,7.22,8.26,139.65,714,178
PH0142,7.43,8.95,111.96,714,178
PH0029,7.45,8.62,449.46,714,178
PH0093,7.65,8.84,285.36,714,178
PH0080,7.32,8.62,481.79,714,178
PH0064,7.39,8.55,128.85,714,178
PH0137,7.01,8.22,106.23,714,178
PH0125,7.28,8.4,195.62,714,178
PH0105,3.83,4.93,57.07,714,178
PH0079,7.07,8.42,354.79,714,178
PH0032,7.52,9.11,119.53,714,178
PH0037,7.01,8.34,103.87,714,178
