AR_Ref,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
10000721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.0,1380.84,830.38,312.08,1694.0,1430.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0
1000589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2398.08,160.92,1126.0,1436.0,126.0,1549.0,1881.0,165.0,1296.0,1886.0,712.0,1679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2423.08,128.92,1126.0,1436.0,707.0,1757.0,1548.0,1709.0,205.0,2049.0,713.0,1598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2513.08,660.8299999999999,1273.08,1846.01,910.0,1513.0,0.0,4139.0,1341.0,1444.0,3758.0,3927.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4049.08,977.9200000000001,2635.0,2848.0,202.0,3147.0,3743.0,2149.0,2415.25,4487.0,2646.0,3573.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
1000723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2344.0,4.0,1407.91,2316.09,1136.0,1327.0,3672.0,255.0,1625.0,5652.0,3822.0,3791.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
1000724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.0,1.0,1268.0,1468.0,0.0,695.0,400.0,3635.09,1424.0,1125.91,1428.0,1200.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1000793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1441.55,890.13,964.0,1254.0,1112.5,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
100719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0899999999999,0.91,1208.0,1408.16,32.33,1093.0,728.0,729.09,388.0,689.0,752.0,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,400.0,1387.05,781.0,596.0,1345.0,342.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
