DateJour,AR_Ref,AR_Design,FA_CodeFamille,FA_Intitule,TotalSortie,TotalEntree,ValeurSortie,ValeurEntree,StockFinal,jour_semaine,mois,trimestre,annee,is_weekend,is_fin_mois,is_debut_mois,mois_label,is_ferie,is_ramadan,sortie_lag_1,sortie_lag_7,sortie_lag_30,rolling_mean_7,rolling_mean_30,jours_avant_rupture
2023-01-01,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,6,1,1,2023,1,0,1,2023-01,1,0,0.0,,,0.0,0.0,
2023-01-02,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,0,1,1,2023,0,0,1,2023-01,0,0,0.0,,,0.0,0.0,
2023-01-03,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,1,1,1,2023,0,0,1,2023-01,0,0,0.0,,,0.0,0.0,
2023-01-04,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,2,1,1,2023,0,0,1,2023-01,0,0,0.0,,,0.0,0.0,
2023-01-05,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,3,1,1,2023,0,0,1,2023-01,0,0,0.0,,,0.0,0.0,
2023-01-06,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,4,1,1,2023,0,0,0,2023-01,0,0,0.0,,,0.0,0.0,
2023-01-07,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,5,1,1,2023,1,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-08,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,6,1,1,2023,1,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-09,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,0,1,1,2023,0,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-10,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,1,1,1,2023,0,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-11,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,2,1,1,2023,0,0,0,2023-01,1,0,0.0,0.0,,0.0,0.0,
2023-01-12,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,3,1,1,2023,0,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-13,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,4,1,1,2023,0,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-14,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,5,1,1,2023,1,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-15,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,6,1,1,2023,1,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-16,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,0,1,1,2023,0,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-17,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,1,1,1,2023,0,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-18,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,2,1,1,2023,0,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-19,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,3,1,1,2023,0,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-20,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,4,1,1,2023,0,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-21,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,5,1,1,2023,1,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-22,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,6,1,1,2023,1,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-23,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,0,1,1,2023,0,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-24,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,1,1,1,2023,0,0,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-25,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,2,1,1,2023,0,1,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-26,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,3,1,1,2023,0,1,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-27,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,4,1,1,2023,0,1,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
2023-01-28,10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,TIFFANY,TIFFANY,0.0,0.0,0.0,0.0,0.0,5,1,1,2023,1,1,0,2023-01,0,0,0.0,0.0,,0.0,0.0,
