AR_Ref,AR_Design,TotalSortie,TotalEntree,ValeurSortie,NbJoursSortie,MoyenneSortie
MHCH003,"EDAM KROON 1,7 KG",328198.36,333283.9,26564263.69,481,682.3250727650727
PHCH026,EDAM PORTION BABY KROON 100G ,182837.33,198025.33000000002,1925700.65,342,529.9632753623188
PPRF006,SLICE IWS OLAND 24P,158614.0,158614.0,2208175.81,314,501.94303797468353
PPRF007,TRIANGLE EL MEJOR CHEF 96P 16,128512.5,128512.5,6609726.02,348,367.17857142857144
PPRF047,SLICE IWS VIVA CHEDDAR 24P (12U),105083.0,108000.0,1426176.94,175,600.4742857142858
PPRF004,SLICE IWS EL MEJOR CHEF 24P,104566.0,104566.0,1412817.2,312,335.1474358974359
MJTM002,COULIS DE TOMATES VERDE 110GR,93607.0,93786.0,207741.24,362,256.45753424657534
PPRF050,SLICE IWS VIVA SP BURGER 24P (12U),59382.54,61430.0,785157.47,175,331.74603351955307
PPRF028,TRIANGLE EL MEJOR CHEF 96P 24,55417.0,55398.0,2824598.63,209,263.8904761904762
PPRF045,Triangles Original VIVA  96P      16,44157.32,47075.33,2004060.99,173,250.89386363636365
PFRF001,SLICE IWS BOULE D'OR CHEDDAR 12P,43414.0,43414.0,456977.45,381,113.05729166666667
PPRF046,Triangles Original VIVA  96P      24,42348.82,43970.0,1909202.34,159,259.80871165644174
1000664,WAFER TIFFANY BREAK 12*24*12.5G,38704.25,39524.41,6738255.05,131,213.83563535911603
1000723,TIFFANY BREAKSTA 12*24*13G,31930.0,33077.91,5558885.01,106,206.0
1000634,TIFFANY BREAK TIME 12*24*13G,26480.08,27250.0,4609031.42,115,158.56335329341317
PPRF038,SLICE IWS OLAND 24P (24U),26435.0,26435.0,367446.5,87,303.85057471264366
MVRM001,RICE VERMICELLI 125G,26408.0,28596.0,91989.36,297,88.32107023411372
PPRF049,VIVA ORIGINAL 16P GRATUITE,22538.33,22634.0,174075.13,124,181.76072580645163
PFRF002,SLICE IWS BOULE D'OR EMMENTAL 12P,20336.0,20336.0,214090.12,310,65.17948717948718
N-2005,CONFITURE FRAISE 450G DÉLICIA,19608.92,19608.92,2373018.77,120,163.40766666666664
1000589,WAFER PICCADELI ROXTA 12*24*20G,18086.0,18504.16,3148699.63,96,132.01459854014598
1000591,WAFERS BARS TIFFANY TEAM UP 12*24*20G,17079.0,17081.5,2973385.3,101,121.99285714285715
VS6ML,Vatika Shampoo Nourish & Protect -6ml,16862.5,34525.2,638463.77,65,221.875
N-5004,DOUBLE CONCENTRÉ DE TOMATE 37CL DÉLICIA-VERRE-,16212.66,16212.66,915397.02,81,200.1562962962963
1000724,PICCADELI BRIO 12*24*20G ,16202.0,16628.16,2820703.47,111,104.52903225806452
N-2002,CONFITURE ABRICOT 450G DÉLICIA,15283.92,15683.92,1614584.26,96,159.2075
PPRF054,TRIANGLE VIVA 3 FROMAGES 88P,15225.17,16635.0,1046107.32,132,111.94977941176471
N-7004,MAQUEREAU FILET HUILE VÉGÉTALE 1/4 JOLY SOUS ÉTUI,14462.85,15569.0,4522568.34,135,107.13222222222223
N-2006,CONFITURE FRAISE 900G DÉLICIA,13430.99,14590.99,1532021.6700000002,96,139.90614583333334
N8003,EVONY ADULT DIAPER LARGE 10*6 MA,13275.0,13625.0,2308947.08,60,221.25
N-1011,MAQUEREAU ST + PIM   SVN 115 GR,13116.5,13516.5,2623408.97,81,161.9320987654321
N-2003,CONFITURE ABRICOT 900G DÉLICIA,12680.5,13607.5,1211197.72,84,150.95833333333334
N-5005,DOUBLE CONCENTRÉ DE TOMATE 72CL DÉLICIA-VERRE-,11657.83,11657.83,1202917.3599999999,86,135.55616279069767
100719,PICCADELI COMBO 12*24*17GR ,11132.17,11134.42,1938066.39,109,76.2477397260274
N-2004,CONFITURE FRAISE 240G DÉLICIA,10762.75,11692.75,749691.99,106,101.53537735849056
N-1001,THON HUILE VÉGÉTALE 1/4 JOLY,10416.15,11216.15,2245974.2,81,128.59444444444443
MKT0010,CARTE RECHARGE 5 DHS,10221.0,10243.0,0.0,233,43.86695278969957
100721,Wafers Based Tiffany Break 24*12 MAXI 26gr             ,10215.92,13650.42,3556387.03,93,72.45333333333333
PFRF003,SLICE IWS BO MOZZARELLA 12P,9900.0,9900.0,104254.58,299,32.78145695364238
N-5003,CONCENTRÉ TOMATE 21CL  DELICIA*12PCS,9851.24,9851.24,778351.21,72,136.8227777777778
MRIZ004,RIZ ETUVE ROZALINA 1KG,9728.0,10503.0,150161.72,115,83.14529914529915
180000713,TIFANY CREAM 80G CHOCOLATE(*24),9268.0,13692.0,275830.01,64,101.84615384615384
180000715,TIFFANY CREAM 80G VANILLA(*24),9015.0,12864.0,268296.56,64,95.90425531914893
10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,8555.92,8558.0,2979045.67,72,82.26846153846154
MVRM002,RICE VERMICELLI 250G,8500.0,8943.0,59273.93,218,38.81278538812786
180000714,TIFFANY CREAM 80G COCONUT (*24),8406.0,12675.0,250172.34,64,92.37362637362638
7006,PAPIA 9 ROLLS*6,8323.66,8868.66,700236.21,42,198.18238095238095
MJTM003,COULIS DE TOMATES VERDE 350G,8249.0,11537.0,53345.79,96,82.49
PPRF008,TRIANGLE EL MEJOR CHEF *16 P GRATUITE,8205.0,8205.0,164167.21,23,341.875
MHCH001,BABY EDAM KROON 0.9,8174.31,8553.29,829846.18,239,33.918298755186726
1000067,TIFFANY CHUNKOS 20G CHOCOLATE(*100),7504.0,7556.0,442261.35,29,187.6
N5004,Molfix 3D UV Maxi 36*4 Twin,7174.0,15453.0,1034103.38,44,163.04545454545453
PPRF039,SLICES IWS EL MEJOR CHEF 24 P (24U),7124.0,7225.0,96164.8,50,137.0
M0005,Molfix CH Diaper Junior 70*2 Mega EG,6762.0,7253.0,1008620.27,41,164.9268292682927
1000793,WAFERS TIFFANY DAY BREAK MAXI 24*12*16G ,6376.18,7219.76,2220134.87,81,54.03542372881356
N5005,Molfix  3D UV Junior 28*4 Twin,6346.0,13695.0,914758.97,47,135.0212765957447
N-1036,MORCELÉS MAQUEREAU HUILE VÉGETALE  1/10 JOLY,6331.0,6331.0,621796.26,57,111.0701754385965
N5006,Molfix 3D UV E.LARGE 22*4 Twin,6050.0,13116.0,872083.3,50,121.0
N-1040,TRIPACK MORCELÉS MAQUEREAU HUILE VÉGETALE  85GR * 3  JOLY,5924.0,5924.0,511125.0,57,103.9298245614035
100720,BREAK TIME 24*12*     MAXI  26GR,5858.05,6441.88,2048274.93,63,63.67445652173913
PPRF015,TRIANGLE BOULE D'OR *96 P,5701.0,5701.0,320973.39,216,26.27188940092166
MVRM003,RICE VERMICELLI 460G,5492.0,6360.0,68874.87,162,33.901234567901234
MIST120,Dabur Miswak Herbal Pure Al-Arak Extract 120+50 gr + BROSSE,5403.96,5706.9800000000005,2409392.27,84,42.2184375
180000716,TIFFANY GOTCHA 30G MILK(*65),4930.0,9684.0,188745.18,49,71.44927536231884
180000717,TIFFANY GOTCHA 30G CHOCOLAT(*65),4801.0,9678.98,183806.39,49,69.57971014492753
N-1004,THON HUILE VÉGÉTALE 1/10 BASSE JOLY,4718.37,4718.37,895578.6,65,72.59030769230769
MFRF001,PROCESSED CHEESE KROON 2KG,4606.0,4608.0,364036.7,178,25.731843575418996
MHCH016,KROON FONDU 907GR,4377.22,4377.22,334404.67,184,23.66064864864865
7008,PAPIA PREMIUM 3PLYS FAC.TIS 550*18,4275.16,5107.16,451979.82,32,133.59875
M0004,MOLFIX CH DIAPER MAXI 80*2 MEGA EG,4158.0,5881.0,616839.3,42,99.0
180000721,TIFFANY OH BOY 33G C&C(*65),3808.0,8489.0,140024.34,29,88.55813953488372
N-1019,"MAQUEREAU FILET SAUCE TOMATE 1/4 JOLY O,F",3713.0,3913.0,1155453.19,62,59.88709677419355
PHCH011,EDAM PORTION KROON 140G,3363.45,3363.45,328379.66000000003,75,44.846
N-1038,TRIPACK MORCELÉS MAQUEREAU HUILE PIMENTÉE 85GR * 3  JOLY,3217.75,3217.75,278117.2,44,73.13068181818181
