FA_CodeFamille,FA_Intitule,TotalSortie,TotalEntree,ValeurSortie,NbJours,NbArticles
OLAND,OLAND,788551.43,824345.57,15471610.45,488,31
KROON,KROON,355908.81,361382.11,29065429.79,484,8
TIFFANY,TIFFANY,244009.57,282934.58,40659946.31,195,22
MEJORCHEF,MEJOR_CHEF,241366.5,241366.5,8190906.75,364,5
TOMATE,TOMATE,93607.0,93786.0,207741.24,362,1
BOULEDOR,BOULE_D_OR,79521.0,79521.0,1102856.17,444,5
CONFITURE,CONFITURE,76363.41,79780.41,7878155.25,168,15
MAQUEREAU,MAQUEREAU,56960.54,58622.69,11450987.24,180,16
DTOMATE,TOMATE DELICIA,44420.65,44420.65,3525072.8,116,7
THON,THON,28894.25,29694.25,5799501.0200000005,154,21
TWIN,TWIN,23505.0,46717.0,3388160.07,57,5
DABIR,DABUR,22812.22,44158.21,1783396.61,109,18
PAPIA,PAPIA,16291.32,18335.32,1582286.76,56,7
EVONY,EVONY,14595.0,15225.0,2542598.62,62,2
ENRICHED,ENRICHED HAIR OIL ,11761.9,14027.99,3857692.04,83,14
MISWAK,MISWAK,11657.65,12420.75,4684525.36,94,8
MEGA,MEGA,10920.0,13134.0,1625459.57,45,2
ATP,ATP,10221.0,10243.0,0.0,233,1
SARDINE,SARDINE,9559.0,9559.0,1740225.19,90,7
HENNA,HENNA,7446.22,9739.09,1595645.99,81,10
OLIVE,OLIVE,3737.25,3737.25,346448.87,49,7
LANDOR,LAND'OR,3545.29,3545.7,581574.79,12,8
VERMICELLE,VERMICELLE,3156.17,4178.0,386456.3,34,3
LINGETTE,LINGETTE,2380.65,2749.0,143827.18,35,2
IDNAFOOD,IDNAFOOD,2313.0,2300.0,388713.6,5,6
PANET,PANTS,1856.0,2760.0,285398.61,31,3
JUMBO,JUMBO,1321.0,2024.0,217680.87,29,4
FAMILIA,FAMILIA,1275.51,2277.0,121408.48000000001,12,1
DABURAMLA,DABUR AMLA HO,1261.66,1320.99,369179.37,58,4
PETITPOIS,PETIT POIS,1168.0,1368.0,57045.28,25,2
THONOLAND,THON OLAND,976.0,1064.0,95016.5,86,1
HAMAMZAITH,HAMAMZAITH HOT OIL,315.88,391.47,85247.58,39,8
MTOMATE,TOMATE MABROUKA,201.0,200.0,18874.0,3,2
HERBO,HERBOLENE ,115.0,259.0,0.0,10,4
DEMELEUR,DEMELEUR,98.17,147.0,21401.22,14,6
HAIRCREAM,HAIR CREAM ,50.05,53.0,0.0,6,8
DERMO,DERMOVIVA ,18.0,28.0,0.0,5,1
HAIRGEL,HAIR GEL ,18.0,18.0,0.0,4,3
