AR_Ref,AR_Design,MAE,RMSE,MAPE,nb_train,nb_test
MHCH003,"EDAM KROON 1,7 KG",0.0,0.0,,777,194
PHCH026,EDAM PORTION BABY KROON 100G,0.11,0.11,,777,194
PPRF006,SLICE IWS OLAND 24P,0.37,0.37,,777,194
PPRF007,TRIANGLE EL MEJOR CHEF 96P 16,2.17,2.18,,777,194
PPRF004,SLICE IWS EL MEJOR CHEF 24P,0.03,0.03,,777,194
PPRF047,SLICE IWS VIVA CHEDDAR 24P (12U),0.61,0.61,,777,194
MJTM002,COULIS DE TOMATES VERDE 110GR,5.37,5.41,,777,194
PPRF050,SLICE IWS VIVA SP BURGER 24P (12U),0.98,0.98,,777,194
PPRF028,TRIANGLE EL MEJOR CHEF 96P 24,0.04,0.04,,777,194
PFRF001,SLICE IWS BOULE D'OR CHEDDAR 12P,51.09,51.13,,777,194
PPRF046,Triangles Original VIVA 96P 24,0.04,0.04,,777,194
PPRF045,Triangles Original VIVA 96P 16,1.34,1.42,,777,194
1000664,WAFER TIFFANY BREAK 12*24*12.5G,31.14,31.16,,777,194
1000723,TIFFANY BREAKSTA 12*24*13G,17.1,17.11,,777,194
MVRM001,RICE VERMICELLI 125G,1.35,1.36,,777,194
1000634,TIFFANY BREAK TIME 12*24*13G,0.08,0.08,,777,194
PPRF038,SLICE IWS OLAND 24P (24U),0.0,0.0,,777,194
PPRF049,VIVA ORIGINAL 16P GRATUITE,0.0,0.01,,777,194
1000591,WAFERS BARS TIFFANY TEAM UP 12*24*20G,26.39,26.48,,777,194
PFRF002,SLICE IWS BOULE D'OR EMMENTAL 12P,5.43,5.43,,777,194
1000589,WAFER PICCADELI ROXTA 12*24*20G,13.26,13.26,,777,194
1000724,PICCADELI BRIO 12*24*20G,0.41,0.42,,777,194
PPRF054,TRIANGLE VIVA 3 FROMAGES 88P,0.02,0.2,,777,194
N8003,EVONY ADULT DIAPER LARGE 10*6 MA,8.36,8.36,,777,194
