AR_Ref,AR_Design,jours_avant_rupture,jours_estimes,StockFinal,rolling_mean_7
10000721,WAFERS Based Tiffany  Breaksta 24*12 MAXI 26gr,9.0,11.0,2.08,0.2314285714285714
1000589,WAFER PICCADELI ROXTA 12*24*20G,36.9,37.3,421.16,11.428571428571429
1000591,WAFERS BARS TIFFANY TEAM UP 12*24*20G,2.5,2.4,2.5,1.0
1000634,TIFFANY BREAK TIME 12*24*13G,107.6,106.5,769.9200000000001,7.154285714285714
1000664,WAFER TIFFANY BREAK 12*24*12.5G,313.3,295.5,895.16,2.857142857142857
1000723,TIFFANY BREAKSTA 12*24*13G,160.7,161.7,1147.91,7.142857142857143
1000724,PICCADELI BRIO 12*24*20G ,271.2,275.6,426.16,1.5714285714285714
1000793,WAFERS TIFFANY DAY BREAK MAXI 24*12*16G ,98.4,96.7,843.5799999999999,8.571428571428571
100719,PICCADELI COMBO 12*24*17GR ,196.9,169.0,2.25,0.0114285714285714
100720,BREAK TIME 24*12*     MAXI  26GR,140.9,143.4,583.83,4.142857142857143
100721,Wafers Based Tiffany Break 24*12 MAXI 26gr             ,160.3,161.3,3434.5,21.428571428571427
180000713,TIFANY CREAM 80G CHOCOLATE(*24),201.1,208.7,4424.0,22.0
180000714,TIFFANY CREAM 80G COCONUT (*24),365.0,365.0,4269.0,7.142857142857143
180000715,TIFFANY CREAM 80G VANILLA(*24),365.0,361.7,3849.0,7.142857142857143
180000716,TIFFANY GOTCHA 30G MILK(*65),365.0,364.8,4754.0,1.4285714285714286
180000717,TIFFANY GOTCHA 30G CHOCOLAT(*65),365.0,364.8,4877.98,1.4285714285714286
180000720,TIFFANY SWICH-TAG 23G CHOCOLATE(*96),365.0,364.8,2401.0,1.4285714285714286
7006,PAPIA 9 ROLLS*6,19.1,20.4,545.0,28.571428571428573
DAGHO200,Dabur Amla Gold Hair Oil 200 ml,6.2,7.1,6.17,1.0
DAHO100,Dabur Amla Hair Oil 100 ml,28.1,26.1,12.05,0.4285714285714285
DAKD-200,DUBER AMLA KIDS NOURISHING DETANGLER 200 ML *24,86.2,76.9,12.32,0.1428571428571428
DAKS-200,DUBER AMLA KIDS NOURISHING SHAMPOO 200 ML *24,79.6,70.9,11.37,0.1428571428571428
HBB1.1,Vatika Henna Hair Colour Blue Black 1.1   - 60 gm,150.6,144.2,86.08,0.5714285714285714
HDB4.5,Vatika Henna Hair Colour Dark Brown 4.5  - 60 gm,84.3,80.7,24.08,0.2857142857142857
HDB4.5-200,Vatika Henna Hair Colour dark brown 4.5  - 200 gm,107.1,109.2,91.84,0.8571428571428571
HERB115,DUBER HERBOLENE ALOE PETROLEUM JELLY ALOE VERA 115ML *48,365.0,365.0,152.13,0.1428571428571428
HERB50,DUBER HERBOLENE ALOE PETROLEUM JELLY ALOE VERA 50ML *48,213.1,208.2,608.89,2.857142857142857
HMO5.5,Vatika Henna Hair Colour Mahogany 5.5   - 60 gm,156.6,164.9,156.57999999999998,1.0
HNB1.0-200,Vatika Henna Hair Colour Natural Black 1.0  - 200 gm,365.0,356.7,316.26,0.8571428571428571
HNB1.0-60,Vatika Henna Hair Colour Natural Black 1.0  - 60 gm,365.0,365.0,436.49,0.7142857142857143
HNB4-60,Vatika Henna Hair Colour Natural Brown 4 - 60 gm,365.0,364.1,481.33,1.2857142857142858
HNBA4-200,Vatika Henna Hair Colour Natural Brown 4 - 200 gm,365.0,359.0,350.0,0.8571428571428571
M0004,MOLFIX CH DIAPER MAXI 80*2 MEGA EG,150.8,158.1,1723.0,11.428571428571429
